>1_6	p_riboswitch=0.586323
>2_6	p_riboswitch=0.030039
>3_6	p_riboswitch=0.261273
>4_6	p_riboswitch=0.121206
>5_6	p_riboswitch=0.002949
>6_6	p_riboswitch=0.001907
>7_6	p_riboswitch=0.120956
>8_6	p_riboswitch=0.638657
>9_6	p_riboswitch=0.171550
>10_6	p_riboswitch=0.060319
>11_6	p_riboswitch=0.075093
>12_6	p_riboswitch=0.039454
>13_6	p_riboswitch=0.066162
>14_6	p_riboswitch=0.031920
>15_6	p_riboswitch=0.007204
>16_6	p_riboswitch=0.008837
>17_6	p_riboswitch=0.830463
>18_6	p_riboswitch=0.197881
>19_6	p_riboswitch=0.090229
>20_6	p_riboswitch=0.077611
>21_6	p_riboswitch=0.016066
>22_6	p_riboswitch=0.036919
>23_6	p_riboswitch=0.087524
>24_6	p_riboswitch=0.092050
>25_6	p_riboswitch=0.160796
>26_6	p_riboswitch=0.057252
>27_6	p_riboswitch=0.003204
>28_6	p_riboswitch=0.001948
>29_6	p_riboswitch=0.275206
>30_6	p_riboswitch=0.445331
>31_6	p_riboswitch=0.079593
>32_6	p_riboswitch=0.350599
>33_6	p_riboswitch=0.043508
>34_6	p_riboswitch=0.038201
>35_6	p_riboswitch=0.052488
>36_6	p_riboswitch=0.007511
>37_6	p_riboswitch=0.004468
>38_6	p_riboswitch=0.008053
>39_6	p_riboswitch=0.762205
>40_6	p_riboswitch=0.011586
>41_6	p_riboswitch=0.079030
>42_6	p_riboswitch=0.021471
>43_6	p_riboswitch=0.010946
>44_6	p_riboswitch=0.367077
>45_6	p_riboswitch=0.074699
>46_6	p_riboswitch=0.708084
>47_6	p_riboswitch=0.132558
>48_6	p_riboswitch=0.002896
>49_6	p_riboswitch=0.002775
>50_6	p_riboswitch=0.153054
>51_6	p_riboswitch=0.230096
>52_6	p_riboswitch=0.059243
>53_6	p_riboswitch=0.052820
>54_6	p_riboswitch=0.047330
>55_6	p_riboswitch=0.021854
>56_6	p_riboswitch=0.010530
>57_6	p_riboswitch=0.004881
>58_6	p_riboswitch=0.004057
>59_6	p_riboswitch=0.006482
>60_6	p_riboswitch=0.354367
>61_6	p_riboswitch=0.011117
>62_6	p_riboswitch=0.001654
>63_6	p_riboswitch=0.011503
>64_6	p_riboswitch=0.234199
>65_6	p_riboswitch=0.235543
>66_6	p_riboswitch=0.085514
>67_6	p_riboswitch=0.234926
>68_6	p_riboswitch=0.004328
>69_6	p_riboswitch=0.012010
>70_6	p_riboswitch=0.116284
>71_6	p_riboswitch=0.160563
>72_6	p_riboswitch=0.043365
>73_6	p_riboswitch=0.075575
>74_6	p_riboswitch=0.021785
>75_6	p_riboswitch=0.005070
>76_6	p_riboswitch=0.005599
>77_6	p_riboswitch=0.012107
>78_6	p_riboswitch=0.003413
>79_6	p_riboswitch=0.006466
>80_6	p_riboswitch=0.279173
>81_6	p_riboswitch=0.011819
>82_6	p_riboswitch=0.009958
>83_6	p_riboswitch=0.203578
>84_6	p_riboswitch=0.040996
>85_6	p_riboswitch=0.875060
>86_6	p_riboswitch=0.316201
>87_6	p_riboswitch=0.015603
>88_6	p_riboswitch=0.008937
>89_6	p_riboswitch=0.119768
>90_6	p_riboswitch=0.105343
>91_6	p_riboswitch=0.075977
>92_6	p_riboswitch=0.057922
>93_6	p_riboswitch=0.022401
>94_6	p_riboswitch=0.003561
>95_6	p_riboswitch=0.004848
>96_6	p_riboswitch=0.008852
>97_6	p_riboswitch=0.003921
>98_6	p_riboswitch=0.005884
>99_6	p_riboswitch=0.308201
>100_6	p_riboswitch=0.011616
>101_6	p_riboswitch=0.091756
>102_6	p_riboswitch=0.478661
>103_6	p_riboswitch=0.878362
>104_6	p_riboswitch=0.606626
>105_6	p_riboswitch=0.010888
>106_6	p_riboswitch=0.008026
>107_6	p_riboswitch=0.047950
>108_6	p_riboswitch=0.057255
>109_6	p_riboswitch=0.058093
>110_6	p_riboswitch=0.057733
>111_6	p_riboswitch=0.003976
>112_6	p_riboswitch=0.003319
>113_6	p_riboswitch=0.003906
>114_6	p_riboswitch=0.008054
>115_6	p_riboswitch=0.003688
>116_6	p_riboswitch=0.010286
>117_6	p_riboswitch=0.174964
>118_6	p_riboswitch=0.899521
>119_6	p_riboswitch=0.549554
>120_6	p_riboswitch=0.600785
>121_6	p_riboswitch=0.318275
>122_6	p_riboswitch=0.009641
>123_6	p_riboswitch=0.021506
>124_6	p_riboswitch=0.098412
>125_6	p_riboswitch=0.045843
>126_6	p_riboswitch=0.059557
>127_6	p_riboswitch=0.046975
>128_6	p_riboswitch=0.003654
>129_6	p_riboswitch=0.002823
>130_6	p_riboswitch=0.004125
>131_6	p_riboswitch=0.007277
>132_6	p_riboswitch=0.010884
>133_6	p_riboswitch=0.009493
>134_6	p_riboswitch=0.876689
>135_6	p_riboswitch=0.292514
>136_6	p_riboswitch=0.261854
>137_6	p_riboswitch=0.009240
>138_6	p_riboswitch=0.052268
>139_6	p_riboswitch=0.042497
>140_6	p_riboswitch=0.079155
>141_6	p_riboswitch=0.045434
>142_6	p_riboswitch=0.047466
>143_6	p_riboswitch=0.040863
>144_6	p_riboswitch=0.003028
>145_6	p_riboswitch=0.003081
>146_6	p_riboswitch=0.003854
>147_6	p_riboswitch=0.010363
>148_6	p_riboswitch=0.010491
>149_6	p_riboswitch=0.508208
>150_6	p_riboswitch=0.126980
>151_6	p_riboswitch=0.158506
>152_6	p_riboswitch=0.006660
>153_6	p_riboswitch=0.138454
>154_6	p_riboswitch=0.037074
>155_6	p_riboswitch=0.012417
>156_6	p_riboswitch=0.038279
>157_6	p_riboswitch=0.041609
>158_6	p_riboswitch=0.030641
>159_6	p_riboswitch=0.003246
>160_6	p_riboswitch=0.002950
>161_6	p_riboswitch=0.011296
>162_6	p_riboswitch=0.009955
>163_6	p_riboswitch=0.241807
>164_6	p_riboswitch=0.091297
>165_6	p_riboswitch=0.118153
>166_6	p_riboswitch=0.169706
>167_6	p_riboswitch=0.106737
>168_6	p_riboswitch=0.009634
>169_6	p_riboswitch=0.040786
>170_6	p_riboswitch=0.033700
>171_6	p_riboswitch=0.032028
>172_6	p_riboswitch=0.021836
>173_6	p_riboswitch=0.003090
>174_6	p_riboswitch=0.010350
>175_6	p_riboswitch=0.011425
>176_6	p_riboswitch=0.111980
>177_6	p_riboswitch=0.092149
>178_6	p_riboswitch=0.166207
>179_6	p_riboswitch=0.122555
>180_6	p_riboswitch=0.010335
>181_6	p_riboswitch=0.001541
>182_6	p_riboswitch=0.037387
>183_6	p_riboswitch=0.026138
