>Grupo_6 Identificou 2839:
1_6	p_riboswitch=0.586323
8_6	p_riboswitch=0.638657
17_6	p_riboswitch=0.830463
39_6	p_riboswitch=0.762205
46_6	p_riboswitch=0.708084
85_6	p_riboswitch=0.875060
103_6	p_riboswitch=0.878362
104_6	p_riboswitch=0.606626
118_6	p_riboswitch=0.899521
119_6	p_riboswitch=0.549554
120_6	p_riboswitch=0.600785
134_6	p_riboswitch=0.876689
149_6	p_riboswitch=0.508208
257_6	p_riboswitch=0.638657
266_6	p_riboswitch=0.830463
288_6	p_riboswitch=0.762205
334_6	p_riboswitch=0.635001
515_6	p_riboswitch=0.830463
537_6	p_riboswitch=0.762205
583_6	p_riboswitch=0.635001
764_6	p_riboswitch=0.830463
780_6	p_riboswitch=0.889688
781_6	p_riboswitch=0.657689
786_6	p_riboswitch=0.762205
802_6	p_riboswitch=0.982966
822_6	p_riboswitch=0.763443
832_6	p_riboswitch=0.635001
841_6	p_riboswitch=0.628103
859_6	p_riboswitch=0.814932
892_6	p_riboswitch=0.597114
946_6	p_riboswitch=0.666313
967_6	p_riboswitch=0.559252
1002_6	p_riboswitch=0.526307
1013_6	p_riboswitch=0.830463
1029_6	p_riboswitch=0.889688
1030_6	p_riboswitch=0.657689
1031_6	p_riboswitch=0.917274
1032_6	p_riboswitch=0.995645
1033_6	p_riboswitch=0.998480
1034_6	p_riboswitch=0.985793
1035_6	p_riboswitch=0.762205
1051_6	p_riboswitch=0.982966
1052_6	p_riboswitch=0.882890
1053_6	p_riboswitch=0.976003
1054_6	p_riboswitch=0.999262
1055_6	p_riboswitch=0.975775
1071_6	p_riboswitch=0.763443
1072_6	p_riboswitch=0.951699
1073_6	p_riboswitch=0.992388
1074_6	p_riboswitch=0.998652
1075_6	p_riboswitch=0.973155
1081_6	p_riboswitch=0.635001
1090_6	p_riboswitch=0.628103
1091_6	p_riboswitch=0.656750
1092_6	p_riboswitch=0.976443
1093_6	p_riboswitch=0.997800
1094_6	p_riboswitch=0.935232
1108_6	p_riboswitch=0.814932
1109_6	p_riboswitch=0.752473
1110_6	p_riboswitch=0.846060
1111_6	p_riboswitch=0.998679
1112_6	p_riboswitch=0.997332
1126_6	p_riboswitch=0.904449
1127_6	p_riboswitch=0.759099
1128_6	p_riboswitch=0.996808
1129_6	p_riboswitch=0.998114
1141_6	p_riboswitch=0.597114
1142_6	p_riboswitch=0.798199
1143_6	p_riboswitch=0.870409
1144_6	p_riboswitch=0.966789
1145_6	p_riboswitch=0.994402
1158_6	p_riboswitch=0.737394
1159_6	p_riboswitch=0.980273
1160_6	p_riboswitch=0.931924
1172_6	p_riboswitch=0.976662
1173_6	p_riboswitch=0.962180
1174_6	p_riboswitch=0.962634
1186_6	p_riboswitch=0.930263
1187_6	p_riboswitch=0.922915
1195_6	p_riboswitch=0.666313
1198_6	p_riboswitch=0.822512
1199_6	p_riboswitch=0.834683
1208_6	p_riboswitch=0.920713
1210_6	p_riboswitch=0.557918
1216_6	p_riboswitch=0.559252
1217_6	p_riboswitch=0.746574
1218_6	p_riboswitch=0.791606
1219_6	p_riboswitch=0.765931
1226_6	p_riboswitch=0.886344
1227_6	p_riboswitch=0.830277
1228_6	p_riboswitch=0.919962
1229_6	p_riboswitch=0.597299
1235_6	p_riboswitch=0.967068
1236_6	p_riboswitch=0.945795
1237_6	p_riboswitch=0.871776
1241_6	p_riboswitch=0.604652
1242_6	p_riboswitch=0.570863
1243_6	p_riboswitch=0.941015
1244_6	p_riboswitch=0.904539
1248_6	p_riboswitch=0.659190
1249_6	p_riboswitch=0.848122
1250_6	p_riboswitch=0.914532
1251_6	p_riboswitch=0.526307
1253_6	p_riboswitch=0.611168
1254_6	p_riboswitch=0.888245
1255_6	p_riboswitch=0.716407
1256_6	p_riboswitch=0.946210
1259_6	p_riboswitch=0.723915
1260_6	p_riboswitch=0.879584
1263_6	p_riboswitch=0.968835
1278_6	p_riboswitch=0.889688
1279_6	p_riboswitch=0.657689
1280_6	p_riboswitch=0.917274
1281_6	p_riboswitch=0.995645
1282_6	p_riboswitch=0.998480
1283_6	p_riboswitch=0.985793
1284_6	p_riboswitch=0.991504
1285_6	p_riboswitch=0.999467
1286_6	p_riboswitch=0.998876
1287_6	p_riboswitch=0.997479
1300_6	p_riboswitch=0.982966
1301_6	p_riboswitch=0.882890
1302_6	p_riboswitch=0.976003
1303_6	p_riboswitch=0.999262
1304_6	p_riboswitch=0.975775
1305_6	p_riboswitch=0.986127
1306_6	p_riboswitch=0.994776
1307_6	p_riboswitch=0.999435
1308_6	p_riboswitch=0.997835
1320_6	p_riboswitch=0.763443
1321_6	p_riboswitch=0.951699
1322_6	p_riboswitch=0.992388
1323_6	p_riboswitch=0.998652
1324_6	p_riboswitch=0.973155
1325_6	p_riboswitch=0.976998
1326_6	p_riboswitch=0.995539
1327_6	p_riboswitch=0.994585
1328_6	p_riboswitch=0.997212
1330_6	p_riboswitch=0.635001
1339_6	p_riboswitch=0.628103
1340_6	p_riboswitch=0.656750
1341_6	p_riboswitch=0.976443
1342_6	p_riboswitch=0.997800
1343_6	p_riboswitch=0.935232
1344_6	p_riboswitch=0.975076
1345_6	p_riboswitch=0.991570
1346_6	p_riboswitch=0.989406
1347_6	p_riboswitch=0.997931
1357_6	p_riboswitch=0.814932
1358_6	p_riboswitch=0.752473
1359_6	p_riboswitch=0.846060
1360_6	p_riboswitch=0.998679
1361_6	p_riboswitch=0.997332
1362_6	p_riboswitch=0.943977
1363_6	p_riboswitch=0.992167
1364_6	p_riboswitch=0.998754
1365_6	p_riboswitch=0.997300
1375_6	p_riboswitch=0.904449
1376_6	p_riboswitch=0.759099
1377_6	p_riboswitch=0.996808
1378_6	p_riboswitch=0.998114
1379_6	p_riboswitch=0.999142
1380_6	p_riboswitch=0.989619
1381_6	p_riboswitch=0.982278
1382_6	p_riboswitch=0.996636
1390_6	p_riboswitch=0.597114
1391_6	p_riboswitch=0.798199
1392_6	p_riboswitch=0.870409
1393_6	p_riboswitch=0.966789
1394_6	p_riboswitch=0.994402
1395_6	p_riboswitch=0.996046
1396_6	p_riboswitch=0.998258
1397_6	p_riboswitch=0.971544
1398_6	p_riboswitch=0.996674
1407_6	p_riboswitch=0.737394
1408_6	p_riboswitch=0.980273
1409_6	p_riboswitch=0.931924
1410_6	p_riboswitch=0.988856
1411_6	p_riboswitch=0.997829
1412_6	p_riboswitch=0.998428
1413_6	p_riboswitch=0.995884
1421_6	p_riboswitch=0.976662
1422_6	p_riboswitch=0.962180
1423_6	p_riboswitch=0.962634
1424_6	p_riboswitch=0.857884
1425_6	p_riboswitch=0.996698
1426_6	p_riboswitch=0.997457
1427_6	p_riboswitch=0.993048
1435_6	p_riboswitch=0.930263
1436_6	p_riboswitch=0.922915
1437_6	p_riboswitch=0.588552
1438_6	p_riboswitch=0.973371
1439_6	p_riboswitch=0.996415
1440_6	p_riboswitch=0.989427
