>Grupo_3 Identificou 1492:
1_3	p_riboswitch=0.897237
2_3	p_riboswitch=0.947372
3_3	p_riboswitch=0.941647
4_3	p_riboswitch=0.961344
23_3	p_riboswitch=0.805774
24_3	p_riboswitch=0.906638
25_3	p_riboswitch=0.891922
26_3	p_riboswitch=0.932952
44_3	p_riboswitch=0.803988
45_3	p_riboswitch=0.817625
46_3	p_riboswitch=0.829110
47_3	p_riboswitch=0.903590
64_3	p_riboswitch=0.663984
65_3	p_riboswitch=0.702962
66_3	p_riboswitch=0.777737
67_3	p_riboswitch=0.807132
83_3	p_riboswitch=0.511260
84_3	p_riboswitch=0.615481
85_3	p_riboswitch=0.646247
86_3	p_riboswitch=0.699001
103_3	p_riboswitch=0.536080
528_3	p_riboswitch=0.561225
777_3	p_riboswitch=0.561225
780_3	p_riboswitch=0.987092
781_3	p_riboswitch=0.991022
801_3	p_riboswitch=0.987570
802_3	p_riboswitch=0.998057
821_3	p_riboswitch=0.989997
822_3	p_riboswitch=0.998309
839_3	p_riboswitch=0.854049
840_3	p_riboswitch=0.996540
841_3	p_riboswitch=0.998002
857_3	p_riboswitch=0.718724
858_3	p_riboswitch=0.753111
859_3	p_riboswitch=0.998464
874_3	p_riboswitch=0.817420
875_3	p_riboswitch=0.577769
876_3	p_riboswitch=0.949520
891_3	p_riboswitch=0.715224
892_3	p_riboswitch=0.887369
907_3	p_riboswitch=0.937050
920_3	p_riboswitch=0.957373
1026_3	p_riboswitch=0.561225
1029_3	p_riboswitch=0.987092
1030_3	p_riboswitch=0.991022
1031_3	p_riboswitch=0.998423
1032_3	p_riboswitch=0.996942
1033_3	p_riboswitch=0.999663
1034_3	p_riboswitch=0.999691
1050_3	p_riboswitch=0.987570
1051_3	p_riboswitch=0.998057
1052_3	p_riboswitch=0.993076
1053_3	p_riboswitch=0.999742
1054_3	p_riboswitch=0.999719
1055_3	p_riboswitch=0.999419
1070_3	p_riboswitch=0.989997
1071_3	p_riboswitch=0.998309
1072_3	p_riboswitch=0.898226
1073_3	p_riboswitch=0.998216
1074_3	p_riboswitch=0.999409
1075_3	p_riboswitch=0.999521
1088_3	p_riboswitch=0.854049
1089_3	p_riboswitch=0.996540
1090_3	p_riboswitch=0.998002
1092_3	p_riboswitch=0.998679
1093_3	p_riboswitch=0.997869
1094_3	p_riboswitch=0.997223
1106_3	p_riboswitch=0.718724
1107_3	p_riboswitch=0.753111
1108_3	p_riboswitch=0.998464
1109_3	p_riboswitch=0.894080
1110_3	p_riboswitch=0.998511
