>1_2	p_riboswitch=0.009091
>2_2	p_riboswitch=0.003569
>3_2	p_riboswitch=0.003675
>4_2	p_riboswitch=0.205017
>5_2	p_riboswitch=0.017635
>6_2	p_riboswitch=0.118803
>7_2	p_riboswitch=0.067789
>8_2	p_riboswitch=0.037178
>9_2	p_riboswitch=0.093806
>10_2	p_riboswitch=0.036047
>11_2	p_riboswitch=0.009977
>12_2	p_riboswitch=0.010583
>13_2	p_riboswitch=0.013941
>14_2	p_riboswitch=0.336414
>15_2	p_riboswitch=0.016729
>16_2	p_riboswitch=0.009018
>17_2	p_riboswitch=0.002079
>18_2	p_riboswitch=0.002391
>19_2	p_riboswitch=0.040263
>20_2	p_riboswitch=0.000398
>21_2	p_riboswitch=0.000346
>22_2	p_riboswitch=0.000296
>23_2	p_riboswitch=0.002994
>24_2	p_riboswitch=0.004175
>25_2	p_riboswitch=0.096836
>26_2	p_riboswitch=0.161402
>27_2	p_riboswitch=0.013920
>28_2	p_riboswitch=0.060653
>29_2	p_riboswitch=0.051511
>30_2	p_riboswitch=0.102693
>31_2	p_riboswitch=0.029354
>32_2	p_riboswitch=0.024572
>33_2	p_riboswitch=0.011814
>34_2	p_riboswitch=0.009720
>35_2	p_riboswitch=0.033117
>36_2	p_riboswitch=0.103642
>37_2	p_riboswitch=0.003517
>38_2	p_riboswitch=0.014740
>39_2	p_riboswitch=0.021156
>40_2	p_riboswitch=0.013190
>41_2	p_riboswitch=0.000388
>42_2	p_riboswitch=0.000384
>43_2	p_riboswitch=0.000315
>44_2	p_riboswitch=0.003004
>45_2	p_riboswitch=0.134876
>46_2	p_riboswitch=0.070573
>47_2	p_riboswitch=0.096081
>48_2	p_riboswitch=0.016964
>49_2	p_riboswitch=0.033947
>50_2	p_riboswitch=0.189195
>51_2	p_riboswitch=0.033232
>52_2	p_riboswitch=0.018124
>53_2	p_riboswitch=0.014740
>54_2	p_riboswitch=0.010693
>55_2	p_riboswitch=0.018624
>56_2	p_riboswitch=0.013474
>57_2	p_riboswitch=0.014386
>58_2	p_riboswitch=0.036519
>59_2	p_riboswitch=0.024274
>60_2	p_riboswitch=0.000684
>61_2	p_riboswitch=0.000380
>62_2	p_riboswitch=0.000371
