>1_7	p_riboswitch=0.056161
>2_7	p_riboswitch=0.165716
>3_7	p_riboswitch=0.184712
>4_7	p_riboswitch=0.225009
>5_7	p_riboswitch=0.048169
>6_7	p_riboswitch=0.114625
>7_7	p_riboswitch=0.107291
>8_7	p_riboswitch=0.986447
>9_7	p_riboswitch=0.974796
>10_7	p_riboswitch=0.976603
>11_7	p_riboswitch=0.129868
>12_7	p_riboswitch=0.053986
>13_7	p_riboswitch=0.262075
>14_7	p_riboswitch=0.455317
>15_7	p_riboswitch=0.469188
>16_7	p_riboswitch=0.626222
>17_7	p_riboswitch=0.252715
>18_7	p_riboswitch=0.190697
>19_7	p_riboswitch=0.325873
>20_7	p_riboswitch=0.500629
>21_7	p_riboswitch=0.319786
>22_7	p_riboswitch=0.447956
>23_7	p_riboswitch=0.056721
>24_7	p_riboswitch=0.183495
>25_7	p_riboswitch=0.084835
>26_7	p_riboswitch=0.027896
>27_7	p_riboswitch=0.053466
>28_7	p_riboswitch=0.053479
>29_7	p_riboswitch=0.880066
>30_7	p_riboswitch=0.730002
>31_7	p_riboswitch=0.962479
>32_7	p_riboswitch=0.087293
>33_7	p_riboswitch=0.135691
>34_7	p_riboswitch=0.169105
>35_7	p_riboswitch=0.573384
>36_7	p_riboswitch=0.420909
>37_7	p_riboswitch=0.412208
>38_7	p_riboswitch=0.656640
>39_7	p_riboswitch=0.396994
>40_7	p_riboswitch=0.290498
>41_7	p_riboswitch=0.450331
>42_7	p_riboswitch=0.488045
>43_7	p_riboswitch=0.314937
>44_7	p_riboswitch=0.070542
>45_7	p_riboswitch=0.085262
>46_7	p_riboswitch=0.021421
>47_7	p_riboswitch=0.020516
>48_7	p_riboswitch=0.024920
>49_7	p_riboswitch=0.821544
>50_7	p_riboswitch=0.038039
>51_7	p_riboswitch=0.444582
>52_7	p_riboswitch=0.083241
>53_7	p_riboswitch=0.081269
>54_7	p_riboswitch=0.914808
>55_7	p_riboswitch=0.291645
>56_7	p_riboswitch=0.661830
>57_7	p_riboswitch=0.521436
>58_7	p_riboswitch=0.473442
>59_7	p_riboswitch=0.856961
>60_7	p_riboswitch=0.211642
>61_7	p_riboswitch=0.360945
>62_7	p_riboswitch=0.434717
>63_7	p_riboswitch=0.471117
>64_7	p_riboswitch=0.063895
>65_7	p_riboswitch=0.023511
>66_7	p_riboswitch=0.016178
>67_7	p_riboswitch=0.012598
>68_7	p_riboswitch=0.093324
>69_7	p_riboswitch=0.061682
>70_7	p_riboswitch=0.032166
>71_7	p_riboswitch=0.054288
>72_7	p_riboswitch=0.078468
>73_7	p_riboswitch=0.964490
>74_7	p_riboswitch=0.978344
>75_7	p_riboswitch=0.564381
>76_7	p_riboswitch=0.628672
>77_7	p_riboswitch=0.579263
>78_7	p_riboswitch=0.764335
>79_7	p_riboswitch=0.834572
>80_7	p_riboswitch=0.346595
>81_7	p_riboswitch=0.358234
>82_7	p_riboswitch=0.420441
>83_7	p_riboswitch=0.060810
>84_7	p_riboswitch=0.127285
>85_7	p_riboswitch=0.015858
>86_7	p_riboswitch=0.071304
>87_7	p_riboswitch=0.046143
>88_7	p_riboswitch=0.046094
>89_7	p_riboswitch=0.023990
>90_7	p_riboswitch=0.052633
>91_7	p_riboswitch=0.844528
>92_7	p_riboswitch=0.978987
>93_7	p_riboswitch=0.958795
>94_7	p_riboswitch=0.388430
>95_7	p_riboswitch=0.682220
>96_7	p_riboswitch=0.839615
>97_7	p_riboswitch=0.737224
>98_7	p_riboswitch=0.928600
>99_7	p_riboswitch=0.304628
>100_7	p_riboswitch=0.748671
>101_7	p_riboswitch=0.145004
>102_7	p_riboswitch=0.016311
>103_7	p_riboswitch=0.033870
>104_7	p_riboswitch=0.028224
>105_7	p_riboswitch=0.035869
>106_7	p_riboswitch=0.048264
>107_7	p_riboswitch=0.024381
>108_7	p_riboswitch=0.260905
>109_7	p_riboswitch=0.936606
>110_7	p_riboswitch=0.961695
>111_7	p_riboswitch=0.933952
>112_7	p_riboswitch=0.403059
>113_7	p_riboswitch=0.899461
>114_7	p_riboswitch=0.808803
>115_7	p_riboswitch=0.879959
>116_7	p_riboswitch=0.849051
>117_7	p_riboswitch=0.286122
>118_7	p_riboswitch=0.068570
>119_7	p_riboswitch=0.023326
>120_7	p_riboswitch=0.022483
>121_7	p_riboswitch=0.024108
>122_7	p_riboswitch=0.029794
>123_7	p_riboswitch=0.050610
>124_7	p_riboswitch=0.046679
>125_7	p_riboswitch=0.450696
>126_7	p_riboswitch=0.981513
>127_7	p_riboswitch=0.947601
>128_7	p_riboswitch=0.927695
>129_7	p_riboswitch=0.632632
>130_7	p_riboswitch=0.087946
>131_7	p_riboswitch=0.911146
>132_7	p_riboswitch=0.769005
>133_7	p_riboswitch=0.832591
>134_7	p_riboswitch=0.038688
>135_7	p_riboswitch=0.012919
>136_7	p_riboswitch=0.019948
>137_7	p_riboswitch=0.017720
>138_7	p_riboswitch=0.035622
>139_7	p_riboswitch=0.065644
>140_7	p_riboswitch=0.064137
>141_7	p_riboswitch=0.971334
>142_7	p_riboswitch=0.960335
>143_7	p_riboswitch=0.958909
>144_7	p_riboswitch=0.976979
>145_7	p_riboswitch=0.603309
>146_7	p_riboswitch=0.968955
>147_7	p_riboswitch=0.824554
>148_7	p_riboswitch=0.742462
>149_7	p_riboswitch=0.011462
>150_7	p_riboswitch=0.009949
>151_7	p_riboswitch=0.019838
>152_7	p_riboswitch=0.018319
>153_7	p_riboswitch=0.039392
>154_7	p_riboswitch=0.092023
>155_7	p_riboswitch=0.954611
>156_7	p_riboswitch=0.935159
>157_7	p_riboswitch=0.986437
>158_7	p_riboswitch=0.990413
>159_7	p_riboswitch=0.973111
>160_7	p_riboswitch=0.884882
