>1_8	p_riboswitch=0.010797
>2_8	p_riboswitch=0.010673
>3_8	p_riboswitch=0.016540
>4_8	p_riboswitch=0.000470
>5_8	p_riboswitch=0.005493
>6_8	p_riboswitch=0.006343
>7_8	p_riboswitch=0.001080
>8_8	p_riboswitch=0.001192
>9_8	p_riboswitch=0.914480
>10_8	p_riboswitch=0.232900
>11_8	p_riboswitch=0.014437
>12_8	p_riboswitch=0.037934
>13_8	p_riboswitch=0.027685
>14_8	p_riboswitch=0.998580
>15_8	p_riboswitch=0.686658
>16_8	p_riboswitch=0.953022
>17_8	p_riboswitch=0.987051
>18_8	p_riboswitch=0.874903
>19_8	p_riboswitch=0.037382
>20_8	p_riboswitch=0.050917
>21_8	p_riboswitch=0.019571
>22_8	p_riboswitch=0.386371
>23_8	p_riboswitch=0.008983
>24_8	p_riboswitch=0.012870
>25_8	p_riboswitch=0.021328
>26_8	p_riboswitch=0.005290
>27_8	p_riboswitch=0.005232
>28_8	p_riboswitch=0.015079
>29_8	p_riboswitch=0.001136
>30_8	p_riboswitch=0.025109
>31_8	p_riboswitch=0.309545
>32_8	p_riboswitch=0.205345
>33_8	p_riboswitch=0.012514
>34_8	p_riboswitch=0.014093
>35_8	p_riboswitch=0.993600
>36_8	p_riboswitch=0.917984
>37_8	p_riboswitch=0.660836
>38_8	p_riboswitch=0.933760
>39_8	p_riboswitch=0.989483
>40_8	p_riboswitch=0.569083
>41_8	p_riboswitch=0.545188
>42_8	p_riboswitch=0.038509
>43_8	p_riboswitch=0.017336
>44_8	p_riboswitch=0.013409
>45_8	p_riboswitch=0.017230
>46_8	p_riboswitch=0.008199
>47_8	p_riboswitch=0.005036
>48_8	p_riboswitch=0.000645
>49_8	p_riboswitch=0.015223
>50_8	p_riboswitch=0.019834
>51_8	p_riboswitch=0.029543
>52_8	p_riboswitch=0.545855
>53_8	p_riboswitch=0.014589
>54_8	p_riboswitch=0.007849
>55_8	p_riboswitch=0.067541
>56_8	p_riboswitch=0.692569
>57_8	p_riboswitch=0.944603
>58_8	p_riboswitch=0.633203
>59_8	p_riboswitch=0.926749
>60_8	p_riboswitch=0.971631
