>1_5	p_riboswitch=0.000539
>2_5	p_riboswitch=0.000406
>3_5	p_riboswitch=0.001100
>4_5	p_riboswitch=0.266696
>5_5	p_riboswitch=0.399808
>6_5	p_riboswitch=0.870857
>7_5	p_riboswitch=0.977120
>8_5	p_riboswitch=0.872129
>9_5	p_riboswitch=0.787457
>10_5	p_riboswitch=0.399600
>11_5	p_riboswitch=0.466034
>12_5	p_riboswitch=0.042926
>13_5	p_riboswitch=0.027335
>14_5	p_riboswitch=0.133137
>15_5	p_riboswitch=0.026855
>16_5	p_riboswitch=0.030477
>17_5	p_riboswitch=0.009201
>18_5	p_riboswitch=0.009464
>19_5	p_riboswitch=0.006600
>20_5	p_riboswitch=0.007884
>21_5	p_riboswitch=0.005600
>22_5	p_riboswitch=0.006735
>23_5	p_riboswitch=0.000850
>24_5	p_riboswitch=0.001055
>25_5	p_riboswitch=0.001274
>26_5	p_riboswitch=0.278305
>27_5	p_riboswitch=0.837852
>28_5	p_riboswitch=0.954044
>29_5	p_riboswitch=0.951971
>30_5	p_riboswitch=0.972915
>31_5	p_riboswitch=0.712728
>32_5	p_riboswitch=0.240255
>33_5	p_riboswitch=0.606893
>34_5	p_riboswitch=0.045960
>35_5	p_riboswitch=0.054051
>36_5	p_riboswitch=0.129826
>37_5	p_riboswitch=0.027308
>38_5	p_riboswitch=0.017061
>39_5	p_riboswitch=0.008197
>40_5	p_riboswitch=0.008056
>41_5	p_riboswitch=0.011441
>42_5	p_riboswitch=0.007616
>43_5	p_riboswitch=0.005380
>44_5	p_riboswitch=0.002156
>45_5	p_riboswitch=0.001192
>46_5	p_riboswitch=0.001591
>47_5	p_riboswitch=0.273680
>48_5	p_riboswitch=0.932064
>49_5	p_riboswitch=0.799192
>50_5	p_riboswitch=0.966316
>51_5	p_riboswitch=0.131313
>52_5	p_riboswitch=0.080120
>53_5	p_riboswitch=0.264679
>54_5	p_riboswitch=0.637094
>55_5	p_riboswitch=0.066811
>56_5	p_riboswitch=0.168327
>57_5	p_riboswitch=0.022262
>58_5	p_riboswitch=0.017108
>59_5	p_riboswitch=0.014886
>60_5	p_riboswitch=0.010202
>61_5	p_riboswitch=0.005375
>62_5	p_riboswitch=0.009382
>63_5	p_riboswitch=0.005808
>64_5	p_riboswitch=0.002474
>65_5	p_riboswitch=0.001556
>66_5	p_riboswitch=0.001627
>67_5	p_riboswitch=0.110077
>68_5	p_riboswitch=0.236319
>69_5	p_riboswitch=0.121193
>70_5	p_riboswitch=0.369086
>71_5	p_riboswitch=0.084615
>72_5	p_riboswitch=0.370933
>73_5	p_riboswitch=0.438837
>74_5	p_riboswitch=0.645754
>75_5	p_riboswitch=0.029784
>76_5	p_riboswitch=0.015095
>77_5	p_riboswitch=0.017020
>78_5	p_riboswitch=0.014755
>79_5	p_riboswitch=0.012625
>80_5	p_riboswitch=0.008655
>81_5	p_riboswitch=0.011939
>82_5	p_riboswitch=0.006537
>83_5	p_riboswitch=0.011807
>84_5	p_riboswitch=0.000806
>85_5	p_riboswitch=0.261022
>86_5	p_riboswitch=0.074397
>87_5	p_riboswitch=0.147167
>88_5	p_riboswitch=0.080556
>89_5	p_riboswitch=0.054010
>90_5	p_riboswitch=0.478733
>91_5	p_riboswitch=0.110277
>92_5	p_riboswitch=0.110711
>93_5	p_riboswitch=0.672857
>94_5	p_riboswitch=0.022555
>95_5	p_riboswitch=0.015593
>96_5	p_riboswitch=0.014600
>97_5	p_riboswitch=0.012443
>98_5	p_riboswitch=0.008799
>99_5	p_riboswitch=0.007040
>100_5	p_riboswitch=0.007172
>101_5	p_riboswitch=0.000989
>102_5	p_riboswitch=0.071769
>103_5	p_riboswitch=0.065252
>104_5	p_riboswitch=0.094220
>105_5	p_riboswitch=0.092460
>106_5	p_riboswitch=0.047063
>107_5	p_riboswitch=0.399956
>108_5	p_riboswitch=0.661646
>109_5	p_riboswitch=0.108615
>110_5	p_riboswitch=0.105433
>111_5	p_riboswitch=0.114541
>112_5	p_riboswitch=0.020267
>113_5	p_riboswitch=0.017243
>114_5	p_riboswitch=0.011742
>115_5	p_riboswitch=0.009227
>116_5	p_riboswitch=0.007838
>117_5	p_riboswitch=0.006500
>118_5	p_riboswitch=0.023302
>119_5	p_riboswitch=0.033153
>120_5	p_riboswitch=0.000716
>121_5	p_riboswitch=0.053895
>122_5	p_riboswitch=0.053927
>123_5	p_riboswitch=0.243591
>124_5	p_riboswitch=0.180906
>125_5	p_riboswitch=0.120516
>126_5	p_riboswitch=0.122317
>127_5	p_riboswitch=0.110550
>128_5	p_riboswitch=0.056798
>129_5	p_riboswitch=0.018822
>130_5	p_riboswitch=0.017038
>131_5	p_riboswitch=0.033938
>132_5	p_riboswitch=0.008910
>133_5	p_riboswitch=0.009201
>134_5	p_riboswitch=0.005298
>135_5	p_riboswitch=0.000501
>136_5	p_riboswitch=0.000600
>137_5	p_riboswitch=0.010814
>138_5	p_riboswitch=0.235947
>139_5	p_riboswitch=0.068597
>140_5	p_riboswitch=0.150759
>141_5	p_riboswitch=0.096992
>142_5	p_riboswitch=0.042466
>143_5	p_riboswitch=0.057986
>144_5	p_riboswitch=0.051104
>145_5	p_riboswitch=0.013906
>146_5	p_riboswitch=0.015539
>147_5	p_riboswitch=0.020367
>148_5	p_riboswitch=0.009978
>149_5	p_riboswitch=0.000541
>150_5	p_riboswitch=0.000443
>151_5	p_riboswitch=0.000385
>152_5	p_riboswitch=0.012235
>153_5	p_riboswitch=0.075978
>154_5	p_riboswitch=0.055978
>155_5	p_riboswitch=0.082122
>156_5	p_riboswitch=0.549057
>157_5	p_riboswitch=0.024238
>158_5	p_riboswitch=0.051616
>159_5	p_riboswitch=0.031858
>160_5	p_riboswitch=0.012534
>161_5	p_riboswitch=0.011876
>162_5	p_riboswitch=0.008636
>163_5	p_riboswitch=0.000469
>164_5	p_riboswitch=0.000417
>165_5	p_riboswitch=0.000416
>166_5	p_riboswitch=0.012302
>167_5	p_riboswitch=0.063989
>168_5	p_riboswitch=0.056068
>169_5	p_riboswitch=0.046788
>170_5	p_riboswitch=0.390965
>171_5	p_riboswitch=0.023070
>172_5	p_riboswitch=0.035415
>173_5	p_riboswitch=0.015216
>174_5	p_riboswitch=0.010576
>175_5	p_riboswitch=0.012938
>176_5	p_riboswitch=0.000465
>177_5	p_riboswitch=0.000447
>178_5	p_riboswitch=0.000413
>179_5	p_riboswitch=0.012755
>180_5	p_riboswitch=0.030267
>181_5	p_riboswitch=0.031272
>182_5	p_riboswitch=0.036021
>183_5	p_riboswitch=0.294777
>184_5	p_riboswitch=0.019189
>185_5	p_riboswitch=0.022556
>186_5	p_riboswitch=0.011700
>187_5	p_riboswitch=0.009798
>188_5	p_riboswitch=0.000514
>189_5	p_riboswitch=0.000443
>190_5	p_riboswitch=0.000430
>191_5	p_riboswitch=0.060061
>192_5	p_riboswitch=0.036877
>193_5	p_riboswitch=0.019688
>194_5	p_riboswitch=0.034591
>195_5	p_riboswitch=0.018110
>196_5	p_riboswitch=0.024882
>197_5	p_riboswitch=0.016112
>198_5	p_riboswitch=0.020109
>199_5	p_riboswitch=0.000515
>200_5	p_riboswitch=0.000364
>201_5	p_riboswitch=0.000411
>202_5	p_riboswitch=0.007211
>203_5	p_riboswitch=0.019386
>204_5	p_riboswitch=0.018380
>205_5	p_riboswitch=0.016017
>206_5	p_riboswitch=0.017155
>207_5	p_riboswitch=0.028891
>208_5	p_riboswitch=0.021661
>209_5	p_riboswitch=0.000655
>210_5	p_riboswitch=0.000672
>211_5	p_riboswitch=0.000339
>212_5	p_riboswitch=0.007047
>213_5	p_riboswitch=0.071621
>214_5	p_riboswitch=0.012958
>215_5	p_riboswitch=0.012521
>216_5	p_riboswitch=0.023376
>217_5	p_riboswitch=0.014238
>218_5	p_riboswitch=0.000697
>219_5	p_riboswitch=0.000363
>220_5	p_riboswitch=0.000361
>221_5	p_riboswitch=0.007586
>222_5	p_riboswitch=0.044884
>223_5	p_riboswitch=0.010540
>224_5	p_riboswitch=0.010854
>225_5	p_riboswitch=0.013901
>226_5	p_riboswitch=0.000655
>227_5	p_riboswitch=0.000383
>228_5	p_riboswitch=0.000352
>229_5	p_riboswitch=0.007294
>230_5	p_riboswitch=0.025984
>231_5	p_riboswitch=0.009266
>232_5	p_riboswitch=0.013302
